text,n_word,start_pos,end_pos,label,subject,source_index,category
Wilhelm Conrad Röntgen,3,0,22,PERSON,Wilhelm Röntgen,0,Physics
German,1,26,32,NORP,Wilhelm Röntgen,0,Physics
27 March 1845,3,70,83,DATE,Wilhelm Röntgen,0,Physics
10 February 1923,3,86,102,DATE,Wilhelm Röntgen,0,Physics
German,1,110,116,NORP,Wilhelm Röntgen,0,Physics
8 November 1895,3,160,175,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,266,273,ORG,Wilhelm Röntgen,0,Physics
Nobel Prize in Physics,4,325,347,WORK_OF_ART,Wilhelm Röntgen,0,Physics
1901,1,351,355,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,370,377,ORG,Wilhelm Röntgen,0,Physics
2004,1,400,404,DATE,Wilhelm Röntgen,0,Physics
the International Union of Pure,5,405,436,ORG,Wilhelm Röntgen,0,Physics
Applied Chemistry,2,441,458,ORG,Wilhelm Röntgen,0,Physics
111,1,481,484,CARDINAL,Wilhelm Röntgen,0,Physics
roentgen,1,589,597,PERSON,Wilhelm Röntgen,0,Physics
Biographical,1,629,641,ORG,Wilhelm Röntgen,0,Physics
Friedrich Conrad Röntgen,3,688,712,PERSON,Wilhelm Röntgen,0,Physics
German,1,716,722,NORP,Wilhelm Röntgen,0,Physics
Charlotte Constanze Frowein,3,760,787,PERSON,Wilhelm Röntgen,0,Physics
Netherlands,1,826,837,GPE,Wilhelm Röntgen,0,Physics
Utrecht Technical School,3,903,927,ORG,Wilhelm Röntgen,0,Physics
Utrecht,1,931,938,GPE,Wilhelm Röntgen,0,Physics
Netherlands,1,940,951,GPE,Wilhelm Röntgen,0,Physics
the Technical School,3,976,996,ORG,Wilhelm Röntgen,0,Physics
almost two years,3,1001,1017,DATE,Wilhelm Röntgen,0,Physics
1865,1,1022,1026,DATE,Wilhelm Röntgen,0,Physics
one,1,1123,1126,CARDINAL,Wilhelm Röntgen,0,Physics
Röntgen,1,1208,1215,ORG,Wilhelm Röntgen,0,Physics
Netherlands,1,1252,1263,GPE,Wilhelm Röntgen,0,Physics
1865,1,1281,1285,DATE,Wilhelm Röntgen,0,Physics
Utrecht University,2,1306,1324,ORG,Wilhelm Röntgen,0,Physics
the Federal Polytechnic Institute,4,1431,1464,ORG,Wilhelm Röntgen,0,Physics
Zürich,1,1468,1474,GPE,Wilhelm Röntgen,0,Physics
today,1,1476,1481,DATE,Wilhelm Röntgen,0,Physics
the ETH Zurich,3,1491,1505,ORG,Wilhelm Röntgen,0,Physics
1869,1,1614,1618,DATE,Wilhelm Röntgen,0,Physics
PhD,1,1640,1643,WORK_OF_ART,Wilhelm Röntgen,0,Physics
the University of Zurich,4,1649,1673,ORG,Wilhelm Röntgen,0,Physics
Professor August Kundt,3,1720,1742,EVENT,Wilhelm Röntgen,0,Physics
German Kaiser-Wilhelms-Universität,2,1782,1816,PERSON,Wilhelm Röntgen,0,Physics
Strasbourg,1,1820,1830,GPE,Wilhelm Röntgen,0,Physics
1874,1,1854,1858,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,1860,1867,ORG,Wilhelm Röntgen,0,Physics
the University of Strasbourg,4,1889,1917,ORG,Wilhelm Röntgen,0,Physics
