text,n_word,start_pos,end_pos,label,subject,source_index,category
Wilhelm Conrad Röntgen,3,0,22,PERSON,Wilhelm Röntgen,0,Physics
German,1,26,32,NORP,Wilhelm Röntgen,0,Physics
27 March 1845,3,70,83,DATE,Wilhelm Röntgen,0,Physics
10 February 1923,3,86,102,DATE,Wilhelm Röntgen,0,Physics
German,1,110,116,NORP,Wilhelm Röntgen,0,Physics
8 November 1895,3,160,175,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,266,273,PERSON,Wilhelm Röntgen,0,Physics
Nobel Prize in Physics,4,325,347,WORK_OF_ART,Wilhelm Röntgen,0,Physics
1901,1,351,355,DATE,Wilhelm Röntgen,0,Physics
Röntgen's,1,370,379,ORG,Wilhelm Röntgen,0,Physics
2004,1,400,404,DATE,Wilhelm Röntgen,0,Physics
the International Union of Pure and Applied Chemistry,8,405,458,ORG,Wilhelm Röntgen,0,Physics
IUPAC,1,460,465,ORG,Wilhelm Röntgen,0,Physics
111,1,481,484,CARDINAL,Wilhelm Röntgen,0,Physics
Friedrich Conrad Röntgen,3,688,712,PERSON,Wilhelm Röntgen,0,Physics
German,1,716,722,NORP,Wilhelm Röntgen,0,Physics
Charlotte Constanze Frowein,3,760,787,PERSON,Wilhelm Röntgen,0,Physics
age three,2,792,801,DATE,Wilhelm Röntgen,0,Physics
Netherlands,1,826,837,GPE,Wilhelm Röntgen,0,Physics
Röntgen,1,871,878,PERSON,Wilhelm Röntgen,0,Physics
Utrecht Technical School,3,903,927,ORG,Wilhelm Röntgen,0,Physics
Utrecht,1,931,938,GPE,Wilhelm Röntgen,0,Physics
Netherlands,1,940,951,GPE,Wilhelm Röntgen,0,Physics
the Technical School,3,976,996,ORG,Wilhelm Röntgen,0,Physics
almost two years,3,1001,1017,DATE,Wilhelm Röntgen,0,Physics
1865,1,1022,1026,DATE,Wilhelm Röntgen,0,Physics
one,1,1075,1078,CARDINAL,Wilhelm Röntgen,0,Physics
one,1,1123,1126,CARDINAL,Wilhelm Röntgen,0,Physics
Röntgen,1,1208,1215,PERSON,Wilhelm Röntgen,0,Physics
Netherlands,1,1252,1263,GPE,Wilhelm Röntgen,0,Physics
1865,1,1281,1285,DATE,Wilhelm Röntgen,0,Physics
Utrecht University,2,1306,1324,ORG,Wilhelm Röntgen,0,Physics
the Federal Polytechnic Institute,4,1431,1464,ORG,Wilhelm Röntgen,0,Physics
Zürich,1,1468,1474,GPE,Wilhelm Röntgen,0,Physics
today,1,1476,1481,DATE,Wilhelm Röntgen,0,Physics
ETH Zurich,2,1495,1505,ORG,Wilhelm Röntgen,0,Physics
1869,1,1614,1618,DATE,Wilhelm Röntgen,0,Physics
the University of Zurich,4,1649,1673,ORG,Wilhelm Röntgen,0,Physics
August Kundt,2,1730,1742,PERSON,Wilhelm Röntgen,0,Physics
German,1,1782,1788,NORP,Wilhelm Röntgen,0,Physics
Kaiser-Wilhelms-Universität,1,1789,1816,ORG,Wilhelm Röntgen,0,Physics
Strasbourg,1,1820,1830,GPE,Wilhelm Röntgen,0,Physics
1874,1,1854,1858,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,1860,1867,PERSON,Wilhelm Röntgen,0,Physics
