text,n_word,start_pos,end_pos,label,subject,source_index,category
Wilhelm Conrad Röntgen,3,0,22,PERSON,Wilhelm Röntgen,0,Physics
German,1,26,32,NORP,Wilhelm Röntgen,0,Physics
27 March 1845,3,70,83,DATE,Wilhelm Röntgen,0,Physics
10 February 1923,3,86,102,DATE,Wilhelm Röntgen,0,Physics
German,1,110,116,NORP,Wilhelm Röntgen,0,Physics
8 November 1895,3,160,175,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,266,273,ORG,Wilhelm Röntgen,0,Physics
Nobel Prize in Physics,4,325,347,WORK_OF_ART,Wilhelm Röntgen,0,Physics
1901,1,351,355,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,370,377,ORG,Wilhelm Röntgen,0,Physics
2004,1,400,404,DATE,Wilhelm Röntgen,0,Physics
the International Union of Pure,5,405,436,ORG,Wilhelm Röntgen,0,Physics
Applied Chemistry,2,441,458,ORG,Wilhelm Röntgen,0,Physics
111,1,481,484,CARDINAL,Wilhelm Röntgen,0,Physics
roentgen,1,589,597,PERSON,Wilhelm Röntgen,0,Physics
Biographical,1,632,644,ORG,Wilhelm Röntgen,0,Physics
Friedrich Conrad Röntgen,3,695,719,PERSON,Wilhelm Röntgen,0,Physics
German,1,723,729,NORP,Wilhelm Röntgen,0,Physics
Charlotte Constanze Frowein,3,767,794,PERSON,Wilhelm Röntgen,0,Physics
Netherlands,1,833,844,GPE,Wilhelm Röntgen,0,Physics
Utrecht Technical School,3,910,934,ORG,Wilhelm Röntgen,0,Physics
Utrecht,1,938,945,GPE,Wilhelm Röntgen,0,Physics
Netherlands,1,947,958,GPE,Wilhelm Röntgen,0,Physics
the Technical School,3,983,1003,ORG,Wilhelm Röntgen,0,Physics
almost two years,3,1008,1024,DATE,Wilhelm Röntgen,0,Physics
1865,1,1029,1033,DATE,Wilhelm Röntgen,0,Physics
one,1,1130,1133,CARDINAL,Wilhelm Röntgen,0,Physics
Röntgen,1,1216,1223,ORG,Wilhelm Röntgen,0,Physics
Netherlands,1,1260,1271,GPE,Wilhelm Röntgen,0,Physics
1865,1,1289,1293,DATE,Wilhelm Röntgen,0,Physics
Utrecht University,2,1314,1332,ORG,Wilhelm Röntgen,0,Physics
the Federal Polytechnic Institute,4,1439,1472,ORG,Wilhelm Röntgen,0,Physics
Zürich,1,1476,1482,GPE,Wilhelm Röntgen,0,Physics
today,1,1484,1489,DATE,Wilhelm Röntgen,0,Physics
the ETH Zurich,3,1499,1513,ORG,Wilhelm Röntgen,0,Physics
1869,1,1622,1626,DATE,Wilhelm Röntgen,0,Physics
PhD,1,1648,1651,WORK_OF_ART,Wilhelm Röntgen,0,Physics
the University of Zurich,4,1657,1681,ORG,Wilhelm Röntgen,0,Physics
Professor August Kundt,3,1728,1750,EVENT,Wilhelm Röntgen,0,Physics
German Kaiser-Wilhelms-Universität,2,1790,1824,PERSON,Wilhelm Röntgen,0,Physics
Strasbourg,1,1828,1838,GPE,Wilhelm Röntgen,0,Physics
1874,1,1867,1871,DATE,Wilhelm Röntgen,0,Physics
Röntgen,1,1873,1880,ORG,Wilhelm Röntgen,0,Physics
the University of Strasbourg,4,1902,1930,ORG,Wilhelm Röntgen,0,Physics
