,text,n_word,start_pos,end_pos,label,source_index,category
0,Wilhelm Conrad Röntgen,3,0,22,PERSON,0,Physics
1,German,1,26,32,NORP,0,Physics
2,27 March 1845,3,70,83,DATE,0,Physics
3,10 February 1923,3,86,102,DATE,0,Physics
4,German,1,110,116,NORP,0,Physics
5,8 November 1895,3,160,175,DATE,0,Physics
6,Röntgen,1,266,273,PERSON,0,Physics
7,Nobel Prize in Physics,4,325,347,WORK_OF_ART,0,Physics
8,1901,1,351,355,DATE,0,Physics
9,Röntgen's,1,370,379,ORG,0,Physics
10,2004,1,400,404,DATE,0,Physics
11,the International Union of Pure and Applied Chemistry,8,405,458,ORG,0,Physics
12,IUPAC,1,460,465,ORG,0,Physics
13,111,1,481,484,CARDINAL,0,Physics
14,Friedrich Conrad Röntgen,3,688,712,PERSON,0,Physics
15,German,1,716,722,NORP,0,Physics
16,Charlotte Constanze Frowein,3,760,787,PERSON,0,Physics
17,age three,2,792,801,DATE,0,Physics
18,Netherlands,1,826,837,GPE,0,Physics
19,Röntgen,1,871,878,PERSON,0,Physics
20,Utrecht Technical School,3,903,927,ORG,0,Physics
21,Utrecht,1,931,938,GPE,0,Physics
22,Netherlands,1,940,951,GPE,0,Physics
23,the Technical School,3,976,996,ORG,0,Physics
24,almost two years,3,1001,1017,DATE,0,Physics
25,1865,1,1022,1026,DATE,0,Physics
26,one,1,1075,1078,CARDINAL,0,Physics
27,one,1,1123,1126,CARDINAL,0,Physics
28,Röntgen,1,1208,1215,PERSON,0,Physics
29,Netherlands,1,1252,1263,GPE,0,Physics
30,1865,1,1281,1285,DATE,0,Physics
31,Utrecht University,2,1306,1324,ORG,0,Physics
32,the Federal Polytechnic Institute,4,1431,1464,ORG,0,Physics
33,Zürich,1,1468,1474,GPE,0,Physics
34,today,1,1476,1481,DATE,0,Physics
35,ETH Zurich,2,1495,1505,ORG,0,Physics
36,1869,1,1614,1618,DATE,0,Physics
37,the University of Zurich,4,1649,1673,ORG,0,Physics
38,August Kundt,2,1730,1742,PERSON,0,Physics
39,German,1,1782,1788,NORP,0,Physics
40,Kaiser-Wilhelms-Universität,1,1789,1816,ORG,0,Physics
41,Strasbourg,1,1820,1830,GPE,0,Physics
42,1874,1,1854,1858,DATE,0,Physics
43,Röntgen,1,1860,1867,PERSON,0,Physics
44,the University of Strasbourg,4,1889,1917,ORG,0,Physics
45,1875,1,1922,1926,DATE,0,Physics
46,the Academy of Agriculture,4,1953,1979,ORG,0,Physics
47,Hohenheim,1,1983,1992,GPE,0,Physics
48,Württemberg,1,1994,2005,GPE,0,Physics
49,Strasbourg,1,2022,2032,GPE,0,Physics
50,1876,1,2062,2066,DATE,0,Physics
51,1879,1,2075,2079,DATE,0,Physics
52,the University of Giessen,4,2125,2150,ORG,0,Physics
53,1888,1,2155,2159,DATE,0,Physics
54,the University of Würzburg,4,2194,2220,ORG,0,Physics
55,1900,1,2229,2233,DATE,0,Physics
56,the University of Munich,4,2237,2261,ORG,0,Physics
57,Bavarian,1,2289,2297,NORP,0,Physics
58,Röntgen,1,2310,2317,PERSON,0,Physics
59,Iowa,1,2332,2336,GPE,0,Physics
60,the United States,3,2340,2357,GPE,0,Physics
61,Columbia University,2,2413,2432,ORG,0,Physics
62,New York City,3,2436,2449,GPE,0,Physics
63,World War I,3,2507,2518,EVENT,0,Physics
64,Munich,1,2553,2559,GPE,0,Physics
65,1895,1,2625,2629,DATE,0,Physics
66,the Würzburg Physical Institute,4,2652,2683,ORG,0,Physics
67,"the University of Würzburg, Röntgen",5,2687,2722,ORG,0,Physics
68,Heinrich Hertz,2,2861,2875,ORG,0,Physics
69,Johann Hittorf,2,2877,2891,PERSON,0,Physics
70,William Crookes,2,2893,2908,PERSON,0,Physics
71,Nikola Tesla,2,2910,2922,PERSON,0,Physics
72,Philipp von Lenard,3,2927,2945,PERSON,0,Physics
73,early November,2,2949,2963,DATE,0,Physics
74,one,1,3001,3004,CARDINAL,0,Physics
75,Lenard's,1,3008,3016,PRODUCT,0,Physics
76,Röntgen,1,3253,3260,PERSON,0,Physics
77,Röntgen,1,3529,3536,PERSON,0,Physics
78,Crookes,1,3546,3553,PRODUCT,0,Physics
79,Hittorf,1,3554,3561,PRODUCT,0,Physics
80,Lenard,1,3613,3619,PRODUCT,0,Physics
81,8 November 1895,3,3693,3708,DATE,0,Physics
82,Röntgen,1,3710,3717,PERSON,0,Physics
83,Lenard,1,3841,3847,PERSON,0,Physics
84,Crookes,1,3869,3876,PRODUCT,0,Physics
85,Hittorf,1,3877,3884,PRODUCT,0,Physics
86,Ruhmkorff,1,3938,3947,PRODUCT,0,Physics
87,Röntgen,1,4059,4066,PERSON,0,Physics
88,Ruhmkorff,1,4146,4155,PRODUCT,0,Physics
89,Röntgen,1,4316,4323,PERSON,0,Physics
90,a few feet,3,4364,4374,QUANTITY,0,Physics
91,Röntgen,1,4667,4674,PERSON,0,Physics
92,40,1,4706,4708,CARDINAL,0,Physics
93,8 November,2,4713,4723,DATE,0,Physics
94,Friday,1,4730,4736,DATE,0,Physics
95,first,1,4813,4818,ORDINAL,0,Physics
96,the following weeks,3,4829,4848,DATE,0,Physics
97,Röntgenograms,1,5144,5157,WORK_OF_ART,0,Physics
98,one,1,5164,5167,CARDINAL,0,Physics
99,Röntgen,1,5252,5259,PERSON,0,Physics
100,Röntgen,1,5337,5344,PERSON,0,Physics
101,first,1,5358,5363,ORDINAL,0,Physics
102,About six weeks,3,5458,5473,DATE,0,Physics
103,Anna Bertha's,2,5551,5564,PERSON,0,Physics
104,Albert von Kölliker's,3,5680,5701,PERSON,0,Physics
105,Röntgen's,1,5728,5737,PERSON,0,Physics
106,"""On A New Kind of Rays""",6,5754,5777,WORK_OF_ART,0,Physics
107,Ueber eine neue Art von Strahlen,6,5779,5811,WORK_OF_ART,0,Physics
108,28 December 1895,3,5831,5847,DATE,0,Physics
109,5 January 1896,3,5852,5866,DATE,0,Physics
110,Austrian,1,5871,5879,NORP,0,Physics
111,Röntgen's,1,5899,5908,ORG,0,Physics
112,Röntgen,1,5947,5954,PERSON,0,Physics
113,the University of Würzburg,4,6010,6036,ORG,0,Physics
114,the Rumford Medal of the British Royal Society,8,6075,6121,WORK_OF_ART,0,Physics
115,1896,1,6125,6129,DATE,0,Physics
116,Philipp Lenard,2,6144,6158,PERSON,0,Physics
117,Röntgen,1,6278,6285,PERSON,0,Physics
118,three,1,6307,6312,CARDINAL,0,Physics
119,1895,1,6338,6342,DATE,0,Physics
120,1897,1,6347,6351,DATE,0,Physics
121,Today,1,6353,6358,DATE,0,Physics
122,Röntgen,1,6360,6367,PERSON,0,Physics
123,Röntgen,1,6506,6513,PERSON,0,Physics
124,Anna Bertha Ludwig,3,6529,6547,PERSON,0,Physics
125,47 years,2,6552,6560,DATE,0,Physics
126,1919,1,6580,6584,DATE,0,Physics
127,age 80,2,6588,6594,DATE,0,Physics
128,1866,1,6599,6603,DATE,0,Physics
